title,originalTitle,description,genre
Zdrajca,Traitor,Agenci FBI prowadzą śledztwo w sprawie ataków terrorystycznych. Wszystkie ślady prowadzą do byłego agenta służb specjalnych. ,Thriller
Arlington Road,,Interesujący się bliskowschodnim terroryzmem profesor koledżu Michael zaczyna podejrzewać nowych sąsiadów o udział w zamachu. ,Dramat / Thriller
Gry małżeńskie,"Love, Wedding, Marriage","Młoda terapeutka odkrywa, że idealne małżeństwo jej rodziców rozpada się. Ponieważ sama niedawno wzięła ślub i głęboko wierzy w potęgę miłości, postanawia zapobiec ich rozwodowi.",Komedia
Każdy by chciał!!,Everybody Wants Some!!,Grupa bejsbolistów wspólnie odkrywa blaski i cienie wkraczania w dorosłość. ,Komedia
Tau,,"Kobieta zostaje uwięziona w futurystycznym, sterowanym komputerowo domu. Jej jedyną szansą na ucieczkę jest włamanie się do komputera kontrolującego budynek.",Thriller / Sci-Fi
Przyjęcie na dziesięć osób plus trzy,,Robotnik Karolak wraz z innymi bezrobotnymi trafia do pracy przy rozładowywaniu wagonów. ,Komedia obycz.
Spotkanie,The Encounter,Tajemniczy właściciel baru zdaje się znać każdego ze swoich klientów lepiej niż oni sami siebie.,Dramat
Hotel dla psów,Hotel for Dogs,"Kiedy Andi i Bruce mimo zakazów przygarniają psa, postanawiają ukryć go w zamkniętym hotelu.",Familijny / Komedia
Czerwona gorączka,Red Heat,"Moskiewski milicjant wyjeżdża do Chicago, gdzie wspólnie z tamtejszym policjantem ściga zabójcę swojego przyjaciela. ",Sensacyjny
Lis i Pies,The Fox and the Hound,"Kiedy osierocony lis zostaje przygarnięty przez staruszkę mieszkającą na farmie, zaprzyjaźnia się z psem myśliwskim sąsiada. ",Animacja / Familijny
Sezon rezerwowych,The Replacements,W związku ze strajkiem zawodowych futbolistów szansę zaistnienia w najważniejszych rozgrywkach otrzymują amatorzy i niespełnieni gracze.,Komedia / Sportowy
Zabić księdza,To Kill a Priest,Na podstawie życia i śmierci księdza Jerzego Popiełuszki. Oficer Służby Bezpieczeństwa inwigiluje niewygodnego dla komunistycznej władzy duchownego. ,Dramat historyczny
Immortal - Kobieta pułapka,Immortel (ad vitam)," W nowojorskich wieżowcach korporacji spiskują politycy, po ulicach krąży morderca, a nad Mannhatanem unosi się starożytna piramida... Skazany na śmierć przez współbogów... ",Thriller / Akcja / Sci-Fi
Frankenweenie,,Dziesięcioletni chłopczyk wskrzesza swojego ukochanego pieska.,Familijny / Komedia / Sci-Fi / Krótkometrażowy
Crossroads - Dogonić marzenia,Crossroads,"Trzy niegdyś najlepsze przyjaciółki łączą swoje siły, by spełnić wspólne marzenie z dzieciństwa.",Komedia
Przeklęta,Cursed,"Jimmy z siostrą bierze udział w niewielkim wypadku. Po kilku dniach rodzeństwo odkrywa, że to wydarzenie bardzo ich zmieniło.",Horror / Komedia
Pięć łatwych utworów,Five Easy Pieces,Pochodzący z wykształconej rodziny Robert pracuje na polu naftowym. Mężczyzna usiłuje po swojemu ułożyć sobie życie. ,Dramat / Obyczajowy / Muzyczny
Chłód w lipcu,Cold in July,Po zabiciu w samoobronie intruza Richard naraża się na gniew ojca ofiary.,Thriller
Morze miłości,Sea of Love,"Frank prowadzi śledztwo dotyczące seryjnego mordercy mężczyzn. Policjant zakochuje się w kobiecie, która jest jedną z podejrzanych. ",Thriller
Serce nie sługa,Someone Like You...,"Kobieta zyskuje sławę po napisaniu artykułu, w którym zarzuca zdradę wszystkim mężczyznom. ",Komedia rom.
Nashville,,"W ciągu pięciu dni poprzedzających wiec wyborczy Hala Philipa Walkera, splatają się losy kilkunastu osób. ",Dramat / Muzyczny
Wiedźma wojny,Rebelle,"Trzynastoletnia Komona zostaje zmuszona przez partyzantów, którzy napadli na jej wioskę, do zamordowania własnych rodziców. Kiedy przebywa w armii rebeliantów, nawiedzają ją duchy ostrzegające przed zagrożeniem. ",Dramat / Wojenny
Ip Man 3,Yip Man 3,"Mistrz wschodnich sztuk walki i jego uczniowie przeciwstawiają się gangsterom, którzy terroryzują lokalną szkołę.",Biograficzny / Sztuki walki
Puls,Pulse,"Haker przypadkowo wypuszcza do sieci tajemniczą siłę, która sprawia, że ludzie zaczynają popełniać samobójstwa.",Horror
Matka Królów,,W trudnych czasach zmian politycznych i społecznych matka wychowuje samotnie czterech synów. ,Dramat / Polityczny
Wersja ostateczna,The Final Cut,"Cutter montuje filmy ze wspomnień zmarłych ludzi zarejestrowanych przez specjalny chip. Gdy analizuje historię życia wpływowego człowieka, odnajduje kompromitujące momenty. ",Thriller / Sci-Fi
Sadysta,Captivity,Dwoje uwięzionych młodych ludzi prowadzi psychologiczną grę z porywaczem. ,Thriller
Dwoje na drodze,Two for the Road,Podczas wakacyjnej podróży na francuską Riwierę małżeństwo wspomina swoje pierwsze spotkanie i kolejne etapy związku.,Dramat / Komedia / Romans
Niedokończony interes,Unfinished Business,"Biznesmen udaje się do Europy, aby sfinalizować najważniejszy interes w karierze. Rutynowa podróż służbowa jest pełna niespodzianek. ",Komedia
Hipnotyzer,Hypnotisören,"Komisarz Joona Linna prowadzi sprawę brutalnego zabójstwa. Z całej rodziny ocalał tylko nastoletni chłopak, który nic nie pamięta. ",Dramat / Kryminał
Centralne biuro uwodzenia,My Mom's New Boyfriend,Matka agenta FBI zakochuje się w złodzieju dzieł sztuki. ,Komedia / Akcja / Romans
"Spirala: Nowy rozdział serii ""Piła""",Spiral: From the Book of Saw,"Detektyw Ezekiel prowadzi śledztwo dotyczące brutalnych zabójstw sprzed lat. Nie zdaje sobie jednak sprawy, że morderca obmyślił zaskakujący, niecny plan.",Horror
Susza,The Dry,"Agent federalny Aaron Falk wraca do ogarniętego suszą rodzinnego miasta, aby wziąć udział w pogrzebie przyjaciela z dzieciństwa. Niewyjaśniona śmierć krewnych zmarłego sprawia, że postanawia rozpocząć śledztwo. ",Kryminał / Thriller
Irina Palm,,Wnuk Maggie wymaga kosztownej operacji. Kobieta postanawia na własną rękę zdobyć pieniądze zatrudniając się w seksbiznesie. ,Dramat
Tallulah,,"Poszukując swojego byłego chłopaka, młoda bezdomna kobieta pod wpływem impulsu porywa dziecko pewnej nieodpowiedzialnej bogatej matki.",Dramat
Życie przed oczami,The Life Before Her Eyes,"Diana przed laty przeżyła wielką tragedię. Przychodzi czas, gdy musi zmierzyć się z traumą.",Dramat / Thriller
Na Zachodzie bez zmian,All Quiet on the Western Front,Grupa młodych Niemców walczy o przeżycie w okopach podczas I wojny światowej.,Dramat / Wojenny
Looney Tunes znowu w akcji,Looney Tunes: Back in Action,Bezrobotny Kaczor Daffy razem z ochroniarzem DJ Drake’m wyrusza na poszukiwania jego uprowadzonego ojca. ,Familijny / Komedia / Przygodowy
Pięć nieczystych zagrań,De Fem benspænd," Najnowsze dzieło Larsa von Triera, wielkiego manipulatora współczesnego kina, to prowokacja zacierająca granicę między fabułą a dokumentem. Tym razem von Trier wciągnął... ",Dokumentalny / Dramat / Animacja dla dorosłych
Zulu,,"Policjanci, Ali Sokhela i Brian Epkeen, pracują nad sprawą zmasakrowanych ciał, w których wykryto nowy narkotyk mający kluczowe znaczenie przy tworzeniu apartheidu.&nbsp;",Dramat / Kryminał
Miłość i koszykówka,Love &amp; Basketball,Po przeprowadzce do Los Angeles Monica zaprzyjaźnia się z Quincy.,Melodramat / Sportowy
Nad Niemnem,,"Justyna Orzelska poznaje Jana Bohatyrowicza, który pokazuje jej, jak wielką wartością jest praca.",Kostiumowy / Dramat obyczajowy
Wojownicze żółwie ninja,TMNT," Wojownicze Żółwie Ninja powracają po latach nieobecności na dużym ekranie. Po pokonaniu starego wroga, Shreddera, rodzina żółwi zaczyna się rozpadać. Niepokój Splintera... ",Animacja / Fantasy / Komedia / Przygodowy
36,36 Quai des Orfèvres,Dwóch policjantów z konkurujących ze sobą wydziałów stara się schwytać gang rabusiów napadających na furgonetki. Stawką jest wysokie stanowisko szefa policji. ,Dramat / Kryminał
Seks to nie wszystko,Lie with Me,"Niezaspokojona erotycznie Leila szuka nowych doznań z obcymi mężczyznami. Gdy poznaje Davida, jej świat wywraca się do góry nogami.",Erotyczny / Melodramat
Wróg doskonały,A Perfect Enemy,"W drodze na lotnisko uznany architekt zostaje zaczepiony przez gadatliwą dziewczynę. Spotkanie wydaje się przypadkowe, ale wkrótce wychodzą na jaw niepokojące okoliczności.",Thriller
Fruitvale,Fruitvale Station,Ciemnoskóry chłopak zostaje zatrzymany przez policję na stacji metra pod zarzutem wszczęcia bójki w pociągu. ,Biograficzny / Dramat
After 2,After We Collided,"Aby zapomnieć o Hardinie, Tessa rzuca się w wir pracy. Chłopak nie zamierza się jednak poddać.&nbsp;",Melodramat
Nasze zwariowane angielskie wakacje,What We Did on Our Holiday,"Doug i Abi, wraz ze swoją trójką dzieci, jadą na przyjęcie urodzinowe ojca mężczyzny. Ponieważ jubilat ciężko choruje, postanawiają utrzymać w tajemnicy fakt, że właśnie się rozwodzą. ",Komedia
Resident Evil: Degeneracja,Baiohazâdo: Dijenerêshon,Claire Redfield jest świadkiem wybuchu kolejnej apokalipsy zombie. Na odsiecz rusza jej Leon Kennedy.,Animacja / Horror / Akcja
Ryzykanci,Double Team,"Tajny agent zesłany przez swych mocodawców na ""przymusową emeryturę"" ucieka z niewoli, by ratować swoją rodzinę przed zemstą śmiertelnego wroga. ",Sensacyjny / Thriller
Bliscy nieznajomi,Confidences trop intimes,Anna pragnie uratować swoje małżeństwo i udaje się po pomoc psychoterapeutyczną. Przez pomyłkę trafia do biura doradcy podatkowego. ,Dramat
Oczy Tammy Faye,The Eyes of Tammy Faye," Film ""Oczy Tammy Faye"" przybliża niezwykłą historię sukcesów i niepowodzeń telewizyjnej ewangelistki Tammy Faye Bakker. W latach 70. i 80. ubiegłego stulecia Tammy Faye i... ",Biograficzny / Dramat
Ferdydurke,,"Warszawa, rok 1939. Trzydziestoletni Józio Kowalski zostaje wysłany przez profesora Pimkę z powrotem do gimnazjum. ",Dramat / Psychologiczny
Capone,,Po dziesięciu latach spędzonych w więzieniu cierpiący na demencję Al Capone stawia czoło swojej brutalnej przeszłości. ,Biograficzny / Dramat / Kryminał
Tyranozaur,Tyrannosaur," Joseph jest zarażonym przemocą alkoholikiem i ma skłonności do autodestrukcji. Kiedy poznaje Hannah, pracownicę sklepu chrześcijańskiej organizacji charytatywnej,... ",Dramat
Samotność liczb pierwszych,La Solitudine dei numeri primi," Adaptacja książki Paolo Giordano pt. ""Samotność liczb pierwszych"", jej bohaterami są Alice i Mattia, których losy śledzimy na przestrzeni wielu lat. 7-letnia Alice... ",Dramat
Kundun - życie Dalaj Lamy,Kundun," Tybet, rok 1937. Mnich buddyjski wędruje po kraju, szuka dziecka, które przeznaczone jest na następcę XIII Dalajlamy. Trafia do ubogiej rodziny zamieszkującej we wiosce... ",Biograficzny / Dramat
Bitwa o Czarnobyl,The Battle of Chernobyl,"Dokument przedstawia przyczyny, przebieg oraz następstwa wybuchu jednego z reaktorów elektrowni atomowej w Czarnobylu. ",Dokumentalny
"Lesbian Vampire Killers, czyli noc krwawej żądzy",Lesbian Vampire Killers,James i Fletch trafiają do okolicy zamieszkałej przez żądne krwi wampirzyce-lesbijki.,Horror / Komedia
Całe szczęście,,"W życie spokojnego muzyka z orkiestry symfonicznej,&nbsp;samotnie wychowujacego dziesięcioletniego synka, niespodziewanie wbiega pełna energii popularna gwiazda fitness.",Komedia rom.
Nasze noce,Our Souls at Night,"Dwoje sąsiadujących ze sobą wdowców nawiązuje platoniczną relację, aby stawić czoła samotności.",Melodramat
Millennium Actress,Sennen joyû,Emerytowana aktorka Chiyoko opowiada dziennikarzowi burzliwą historię swojej kariery.&nbsp;&nbsp;,Melodramat / Anime
Bandyci czasu,Time Bandits,Uciekające przed swoim panem karły trafiają do mieszkania Kevina.,Familijny / Fantasy / Komedia / Przygodowy
Tylko nie miłość,La chance de ma vie,"Julien prowadzi terapie małżeńskie, ale sam nie potrafi utrzymać związku dłużej niż dwa tygodnie, ponieważ przynosi &nbsp;swoim dziewczynom pecha. &nbsp;",Komedia rom.
Żywie Biełaruś!,Žyvie Biełaruś,"Dwudziestoczteroletni białoruski muzyk rockowy walczy z represyjnym systemem, ryzykując wszystko, co kocha. ",Dramat
Przygody psa Balto,Balto,"Rok 1925. Bezpański pies, odtrącony przez ludzi, jak i zwierzęta, decyduje&nbsp;się dowieźć&nbsp;lekarstwa do miasta Nome, w którym panuje epidemia dyfterytu. Ponadto wilczur rywalizuje z liderem zaprzęgu Steelem o względy suczki Jenny. ",Animacja / Dramat / Przygodowy
Dziewczynka z kotem,Incompresa,"Dziewięcioletnia Aria głęboko przeżywa rozwód rodziców. Odrzucona i odepchnięta, przemierza miasto z czarnym kotem, by ocalić swoje dzieciństwo. ",Dramat
Dom otwarty,The Open House,"Po przeżytej tragedii matka przenosi się ze swoim nastoletnim synem do należącego do rodziny domu wakacyjnego, gdzie sprzysięgają się przeciw nim upiorne, nieznane moce.",Thriller
"Jutro, jak wybuchnie wojna","Tomorrow, When the War Began","Adaptacja książki Johna Marsdena. Kiedy grupa nastolatków powraca z wakacji i odkrywa, że ich kraj został najechany, decyduje się powstrzymać wroga.",Akcja
CBGB,,"Historia powstania nowojorskiego klubu CBGB, który w latach 80. XX wieku stał się mekką i przystanią dla grup punkrockowych oraz nowofalowych jak: Ramones, Blondie czy Talking Heads.",Biograficzny / Dramat / Muzyczny
21 x Nowy Jork,,Piotr Stasik dokumentuje amerykańską metropolię obserwując pasażerów nowojorskiego metra. ,Dokumentalny
Wrobiony,Erased,"Były agent CIA staje się obiektem międzynarodowego spisku. By chronić córkę, zmuszony jest do ucieczki. ",Thriller / Akcja
Leatherface,,"Nastoletni Leatherface ucieka ze szpitala psychiatrycznego, porywając młodą pielęgniarkę.",Horror
Bez skazy,Flawless,W ramach rehabilitacji po wylewie Walt Koontz uczęszcza na lekcje śpiewu. Jego mentorem zostaje znienawidzony dotąd sąsiad Rusty. ,Dramat / Komedia kryminalna
Nieodebrane połączenie,Chakushin ari,"Przyjaciele Yumi zaczynają ginąć po tym, jak otrzymują wiadomość głosową dotyczącą okoliczności ich śmierci. Wkrótce dziewczyna również dostaje taką informację.",Horror
Plan dziewięć z kosmosu,Plan 9 from Outer Space,"Kosmici wskrzeszają zmarłych, aby pozbawili życia wszystkich ludzi na ziemi.",Horror / Sci-Fi
7 krasnoludków: Las to za mało - historia jeszcze prawdziwsza,7 Zwerge - Der Wald ist nicht genug,Siedmiu krasnoludków decyduje się pomóc Królewnie Śnieżce uratować jej syna.,Fantasy / Komedia
I wszystko lśni,Sunshine Cleaning,"Aby poprawić sytuację finansową, dwie siostry zakładają firmę sprzątającą miejsca zbrodni.",Dramat / Komedia
Drzwi obok,Naboer,John nawiązuje nietypową relację z dwiema atrakcyjnymi sąsiadkami. ,Thriller / Psychologiczny
Mroźny wiatr,Wind Chill," Dwoje studentów jedzie do domu na wakacje. Gdy samochód rozbija się w opustoszałym miejscu, zaczynają ich nawiedzać duchy zmarłych ludzi. ",Horror
Obietnica poranka,La promesse de l'aube,"Macierzyńska miłość, tworząca dla syna iluzję wspaniałego świata, sprawia, że Romain Gary staje się jednym z najwybitniejszych powieściopisarzy, ale jest również wielkim obciążeniem. ",Biograficzny / Dramat
Miś Yogi,Yogi Bear," Film opowiada o mieszkających w Parku Jellystone niedźwiedziach - Yogim i jego przyjacielu Boo Boo. Pewnego dnia do parku przybywa reporterka (Anna Faris), która staje... ",Familijny / Komedia
Porwany,Kidnap,"Matka jest gotowa zrobić wszystko, by odzyskać porwanego syna. ",Thriller
Operacja Dunaj,,Komunistyczne wojska przekraczają granice Czechosłowacji. Załoga polskiego czołgu myli drogę i trafia prosto do wiejskiej karczmy. ,Komedia
Skłodowska,Radioactive,"Historia Marii Skłodowskiej-Curie i jej nagrodzonej Nagrodą Nobla pracy, która zmieniła świat.",Biograficzny / Dramat
Kometa,Comet," Kimberly (Emmy Rossum) i Dell (Justin Long), miłośnicy spadających gwiazd, poznają się na cmentarzu w trakcie deszczu meteorów. Za sprawą uporu cynicznego Della ich... ",Dramat / Komedia
Bullet,,"Po ośmioletniej odsiadce Bullet wychodzi z więzienia i wraca do narkotyków, wstępując na drogę przestępstwa. ",Dramat / Kryminał
Strażnik czasu,Timecop,Agent z Urzędu Ochrony Czasu prowadzi śledztwo przeciwko skorumpowanemu politykowi wykorzystującemu nielegalne podróże w czasie do gromadzenia środków na własną kampanię prezydencką. ,Akcja / Sci-Fi
Yyyreek!!! Kosmiczna nominacja,,"Irek zatrzymuje się w zakopiańskim pensjonacie, czekając na spotkanie z kosmitami. W tym samym hoteliku zameldowani są również gangsterzy.",Komedia
Bracia Oodie,The Baytown Outlaws,Braci Oodie otrzymują zlecenie odzyskania syna klientki.,Akcja
K2,,"Dwaj przyjaciele wyruszają do Karakorum, gdzie zamierzają zdobyć szczyt owianej złą sławą góry K2. ",Dramat / Przygodowy
"Ci, którzy życzą mi śmierci",Those Who Wish Me Dead,"Nastolatek jest świadkiem morderstwa, za co ściga go dwóch zabójców. Chłopiec trafia pod opiekę strażaczki, która stara się go ochronić zarówno przed prześladowcami, jak i pożarem otaczającego ich lasu. ",Thriller
Omen III: Ostatnie starcie,The Final Conflict,Dorosły Damien staje się wpływowym politykiem i przejmuje coraz większe wpływy na Ziemi. ,Horror
Incydent,Breakdown,Żona Jeffa znika w niewyjaśnionych okolicznościach. Zdezorientowany mężczyzna rozpoczyna poszukiwania.,Thriller
